patient_id,model_name,Completeness,Clarity,Transparency,Consistency
296,gpt4,5,5,5,5
107,gpt4,4,5,4,5
184,gpt4,4,5,4,5
254,gpt4,3,4,4,5
251,gpt4,4,5,4,4
108,gpt4,4,4,3,4
44,gpt4,4,5,5,5
118,gpt4,4,4,4,3
232,gpt4,4,4,5,5
29,gpt4,3,5,4,5
139,gpt4,4,4,3,4
14,gpt4,4,4,4,5
296,gemini,4,5,4,4
107,gemini,4,4,4,4
184,gemini,4,5,5,5
254,gemini,4,5,4,5
251,gemini,5,5,5,5
108,gemini,4,4,3,4
44,gemini,4,4,4,4
118,gemini,4,3,5,4
232,gemini,4,5,5,5
29,gemini,4,4,5,5
139,gemini,4,5,4,4
14,gemini,4,4,3,4
296,mistral,4,5,4,5
107,mistral,4,4,4,5
184,mistral,4,4,3,5
254,mistral,4,3,4,4
251,mistral,4,4,4,4
108,mistral,4,4,5,5
44,mistral,4,4,4,4
118,mistral,4,4,4,4
232,mistral,4,4,5,5
29,mistral,3,4,4,4
139,mistral,4,4,3,4
14,mistral,4,4,4,4
